184	 Benintendi, A	BOS	CF	53	201	30	54	8	0	7	30	22	33	8	1	.269	.342	.413	.755
185	 Smith, S	BAL	RF	39	123	21	33	6	0	5	11	12	31	1	0	.268	.341	.439	.780
186	 Gurriel, Y	HOU	1B	49	179	24	48	11	0	6	25	6	23	0	1	.268	.307	.430	.737
187	 Jackson, A	CLE	CF	21	56	7	15	7	0	2	7	7	15	0	0	.268	.333	.500	.833
188	 Lindor, F	CLE	SS	54	213	37	57	15	1	12	26	21	36	3	1	.268	.333	.516	.850
189	 Bryant, K	CHC	3B	53	202	36	54	13	1	13	26	35	50	4	3	.267	.384	.535	.919
189	 Cain, L	KC	CF	54	202	22	54	11	1	3	14	24	40	12	0	.267	.349	.376	.726
191	 Thames, E	MIL	1B	52	176	43	47	10	1	15	29	37	54	2	1	.267	.406	.591	.996
192	 Simmons, A	LAA	SS	59	221	22	59	10	0	6	23	20	24	6	2	.267	.328	.394	.722
192	 Trumbo, M	BAL	DH	55	221	35	59	9	0	8	28	17	45	1	0	.267	.319	.416	.736
194	 Gonzalez, E	CLE	SS	8	15	2	4	0	0	0	0	0	6	0	0	.267	.267	.267	.533
194	 Grossman, R	MIN	DH	43	135	27	36	6	0	6	19	30	27	1	0	.267	.407	.444	.852
194	 Tomlinson, K	SF	2B	21	30	2	8	0	0	0	1	1	7	2	0	.267	.290	.267	.557
197	 Desmond, I	COL	1B	32	128	18	34	4	1	3	15	4	36	2	2	.266	.296	.383	.679
197	 SouzaJr, S	TB	RF	53	192	27	51	10	1	10	33	32	66	1	1	.266	.374	.484	.859
199	 Morales, K	TOR	DH	54	200	29	53	11	0	11	31	16	39	0	0	.265	.321	.485	.806
200	 Baez, J	CHC	2B	48	151	22	40	6	1	9	25	6	40	2	2	.265	.294	.497	.790
201	 Beckham, T	TB	SS	54	208	21	55	3	2	9	27	11	75	3	1	.264	.303	.428	.731
201	 Yelich, C	MIA	CF	54	208	37	55	7	0	7	25	23	40	5	0	.264	.342	.399	.741
203	 Mercer, J	PIT	SS	55	193	23	51	8	1	5	18	26	31	0	4	.264	.352	.394	.745
204	 Crawford, B	SF	SS	44	159	21	42	11	1	4	24	11	32	1	1	.264	.305	.421	.726
204	 Young, C	BOS	LF	37	106	16	28	7	0	2	12	14	21	1	2	.264	.347	.387	.734
206	 Betts, M	BOS	RF	53	216	35	57	17	0	9	33	25	23	9	1	.264	.343	.468	.811
206	 Polanco, G	PIT	LF	41	144	19	38	11	0	3	13	15	22	7	1	.264	.338	.403	.740
208	 Martinez, V	DET	DH	51	182	17	48	8	0	5	28	21	27	0	0	.264	.346	.390	.736
208	 Reddick, J	HOU	RF	52	182	32	48	9	2	6	22	19	27	2	2	.264	.327	.434	.761
210	 Moreland, M	BOS	1B	54	186	28	49	16	0	6	28	27	48	0	1	.263	.361	.446	.807
211	 Walker, N	NYM	2B	53	205	31	54	13	2	7	31	21	35	0	1	.263	.332	.449	.781
212	 Gonzalez, A	LAD	1B	45	152	8	40	11	0	1	21	12	28	0	0	.263	.313	.355	.669
212	 Peterson, S	TB	LF	14	38	5	10	2	0	1	6	2	12	0	0	.263	.317	.395	.712
214	 Braun, R	MIL	LF	30	103	19	27	6	0	7	19	14	25	4	1	.262	.350	.524	.875
215	 Rickard, J	BAL	LF	34	84	9	22	4	0	1	5	4	22	4	1	.262	.295	.345	.641
215	 Werth, J	WSH	LF	47	168	28	44	5	1	8	18	27	43	4	3	.262	.367	.446	.814
217	 Knapp, A	PHI	C	22	65	8	17	5	0	3	8	10	21	0	0	.262	.360	.477	.837
217	 Turner, T	WSH	SS	45	195	33	51	10	3	5	26	7	42	16	3	.262	.289	.421	.710
219	 Anderson, T	CWS	SS	48	199	26	52	7	1	6	17	5	51	3	0	.261	.283	.397	.680
219	 Moustakas, M	KC	3B	50	199	27	52	9	0	14	29	11	35	0	0	.261	.303	.518	.821
221	 Chisenhall, L	CLE	CF	33	92	15	24	6	1	6	22	10	20	1	0	.261	.333	.543	.877
221	 Smith, M	TB	LF	9	23	2	6	1	0	0	0	3	3	3	0	.261	.346	.304	.651
221	 Span, D	SF	CF	35	138	17	36	9	1	3	11	9	17	0	2	.261	.311	.406	.717
224	 Rivera, T	NYM	1B	37	96	14	25	7	1	1	10	6	16	1	0	.260	.321	.385	.706
225	 Garcia, G	STL	3B	42	73	4	19	4	0	1	3	11	19	2	0	.260	.365	.356	.721
226	 Myers, W	SD	1B	57	223	30	58	12	2	12	31	16	70	6	3	.260	.310	.493	.803
227	 Margot, M	SD	CF	47	185	16	48	6	3	4	13	13	39	5	5	.259	.305	.389	.694
227	 Travis, D	TOR	2B	50	185	22	48	18	0	5	24	7	38	4	2	.259	.291	.438	.729
229	 Sanchez, G	NYY	C	29	108	17	28	2	0	6	15	12	29	1	1	.259	.350	.444	.794
230	 Davidson, M	CWS	3B	43	139	19	36	4	1	10	25	9	56	0	1	.259	.302	.518	.820
231	 Cabrera, M	CWS	LF	52	205	28	53	7	0	6	31	15	27	0	0	.259	.308	.380	.689
232	 Vargas, K	MIN	DH	24	89	9	23	5	0	5	19	3	22	0	0	.258	.280	.483	.763
233	 Aoki, N	HOU	LF	40	120	11	31	4	0	1	9	10	18	3	1	.258	.308	.317	.625
234	 Cervelli, F	PIT	C	46	151	19	39	11	1	3	20	20	32	0	2	.258	.351	.404	.755
235	 Freese, D	PIT	3B	39	124	14	32	4	0	5	20	18	27	0	0	.258	.361	.411	.772
235	 Graterol, J	LAA	C	14	31	3	8	1	0	0	3	0	3	0	0	.258	.258	.290	.548
235	 Upton, J	DET	LF	53	186	35	48	12	0	11	30	26	62	5	2	.258	.355	.500	.855
238	 Lucroy, J	TEX	C	42	159	10	41	10	0	3	13	8	13	0	0	.258	.300	.377	.677
239	 Kim, H	BAL	LF	27	66	6	17	3	0	1	4	7	13	0	0	.258	.338	.348	.686
